name,date_x,score,genre,overview,orig_title,orig_lang,budget_x,country
Creed III,03/02/2023,73.0,"Drama,Action,Romance","After dominating the boxing world,Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy,Damien Anderson,resurfaces after serving a long sentence in prison,he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score,Adonis must put his future on the line to battle Damien �?? a fighter who has nothing to lose.",Creed III,English,75000000.0,AU
Avatar: The Way of Water,12/15/2022,78.0,"Science Fiction,Adventure,Action","Set more than a decade after the events of the first film,learn the story of the Sully family (Jake,Neytiri,and their kids),the trouble that follows them,the lengths they go to keep each other safe,the battles they fight to stay alive,and the tragedies they endure.",Avatar: The Way of Water,English,460000000.0,AU
The Super Mario Bros. Movie,04/05/2023,76.0,"Animation,Adventure,Family,Fantasy,Comedy","While working underground to fix a water main,Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated,Mario embarks on an epic quest to find Luigi.",The Super Mario Bros. Movie,English,100000000.0,AU
Mummies,01/05/2023,70.0,"Animation,Comedy,Family,Adventure,Fantasy","Through a series of unfortunate events,three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family,stolen by ambitious archaeologist Lord Carnaby.",Momias," Spanish,Castilian",12300000.0,AU
Supercell,03/17/2023,61.0,Action,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business,managed by the greedy and reckless Zane Rogers,who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.",Supercell,English,77000000.0,US
Cocaine Bear,02/23/2023,66.0,"Thriller,Comedy,Crime","Inspired by a true story,an oddball group of cops,criminals,tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",Cocaine Bear,English,35000000.0,AU
John Wick: Chapter 4,03/23/2023,80.0,"Action,Thriller,Crime","With the price on his head ever increasing,John Wick uncovers a path to defeating The High Table. But before he can earn his freedom,Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",John Wick: Chapter 4,English,100000000.0,AU
Puss in Boots: The Last Wish,12/26/2022,83.0,"Animation,Family,Fantasy,Adventure,Comedy","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives,leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Puss in Boots: The Last Wish,English,90000000.0,AU
Attack on Titan,09/30/2022,59.0,"Action,Science Fiction","As viable water is depleted on Earth,a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource,they are attacked by Titan rebels,who don't trust that the Earthlings will leave in peace.",Attack on Titan,English,71000000.0,US
The Park,03/02/2023,58.0,"Action,Drama,Horror,Science Fiction,Thriller","A dystopian coming-of-age movie focused on three kids who find themselves in an abandoned amusement park,aiming to unite whoever remains. With dangers lurking around every corner,they will do whatever it takes to survive their hellish Neverland.",The Park,English,119200000.0,US
Winnie the Pooh: Blood and Honey,02/14/2023,58.0,"Horror,Thriller","Christopher Robin is headed off to college and he has abandoned his old friends,Pooh and Piglet,which then leads to the duo embracing their inner monsters.",Winnie the Pooh: Blood and Honey,English,100000.0,AU
